Codigo,Nome,Quantidade,Taxa,Status
1000,Produto numero 1000,250,36.065,S
1000,Produto numero 1000,250,27.616,S
1000,Produto numero 1000,250,97.775,S
1000,Produto numero 1000,250,79.049,S
1000,Produto numero 1000,250,83.767,S
1000,Produto numero 1000,250,29.097,S
1000,Produto numero 1000,250,52.751,S
1000,Produto numero 1000,250,14.687,S
1000,Produto numero 1000,250,73.13,S
1000,Produto numero 1000,250,42.526,S
1000,Produto numero 1000,250,46.693,S
1000,Produto numero 1000,250,63.515,S
1000,Produto numero 1000,250,63.579,S
1000,Produto numero 1000,250,28.171,S
1000,Produto numero 1000,250,3.738,S
1000,Produto numero 1000,250,30.638,S
1000,Produto numero 1000,250,2.265,S
1000,Produto numero 1000,250,2.191,S
1000,Produto numero 1000,250,84.527,S
1000,Produto numero 1000,250,51.962,S
1000,Produto numero 1000,250,3.266,N
1000,Produto numero 1000,250,19.693,N
1000,Produto numero 1000,250,98.111,N
1000,Produto numero 1000,250,49.886,N
1000,Produto numero 1000,250,75.146,N
1001,Produto numero 1001,250,47.859,S
1001,Produto numero 1001,250,47.379,S
1001,Produto numero 1001,250,63.622,S
1001,Produto numero 1001,250,47.55,S
1001,Produto numero 1001,250,84.03,S
1001,Produto numero 1001,250,54.963,S
1001,Produto numero 1001,250,90.788,S
1001,Produto numero 1001,250,44.453,S
1001,Produto numero 1001,250,72.258,S
1001,Produto numero 1001,250,31.444,S
1001,Produto numero 1001,250,31.505,S
1001,Produto numero 1001,250,85.128,S
1001,Produto numero 1001,250,45.552,S
1001,Produto numero 1001,250,69.551,S
1001,Produto numero 1001,250,19.998,S
1001,Produto numero 1001,250,44.896,S
1001,Produto numero 1001,250,95.152,S
1001,Produto numero 1001,250,62.096,S
1001,Produto numero 1001,250,76.08,S
1001,Produto numero 1001,250,49.52,S
1001,Produto numero 1001,250,96.882,N
1001,Produto numero 1001,250,30.75,N
1001,Produto numero 1001,250,94.3,N
1001,Produto numero 1001,250,32.654,N
1001,Produto numero 1001,250,27.577,N
1002,Produto numero 1002,251,45.867,S
1002,Produto numero 1002,251,7.901,S
1002,Produto numero 1002,251,13.025,S
1002,Produto numero 1002,251,2.676,S
1002,Produto numero 1002,251,29.805,S
1002,Produto numero 1002,251,74.481,S
1002,Produto numero 1002,251,26.207,S
1002,Produto numero 1002,251,6.751,S
1002,Produto numero 1002,251,43.132,S
1002,Produto numero 1002,251,12.657,S
1002,Produto numero 1002,251,48.217,S
1002,Produto numero 1002,251,10.426,S
1002,Produto numero 1002,251,25.248,S
1002,Produto numero 1002,251,92.178,S
1002,Produto numero 1002,251,45.751,S
1002,Produto numero 1002,251,9.719,S
1002,Produto numero 1002,251,34.663,S
1002,Produto numero 1002,251,64.612,S
1002,Produto numero 1002,251,11.716,S
1002,Produto numero 1002,251,46.594,S
1002,Produto numero 1002,251,4.784,N
1002,Produto numero 1002,251,2.269,N
1002,Produto numero 1002,251,91.998,N
1002,Produto numero 1002,251,92.449,N
1002,Produto numero 1002,251,12.234,N
1003,Produto numero 1003,251,26.874,S
1003,Produto numero 1003,251,90.704,S
1003,Produto numero 1003,251,45.247,S
1003,Produto numero 1003,251,90.638,S
1003,Produto numero 1003,251,81.755,S
1003,Produto numero 1003,251,91.974,S
1003,Produto numero 1003,251,75.965,S
1003,Produto numero 1003,251,61.243,S
1003,Produto numero 1003,251,73.577,S
1003,Produto numero 1003,251,63.078,S
1003,Produto numero 1003,251,83.263,S
1003,Produto numero 1003,251,39.025,S
1003,Produto numero 1003,251,74.701,S
1003,Produto numero 1003,251,98.837,S
1003,Produto numero 1003,251,1.898,S
1003,Produto numero 1003,251,3.538,S
1003,Produto numero 1003,251,62.173,S
1003,Produto numero 1003,251,36.804,S
1003,Produto numero 1003,251,84.433,S
1003,Produto numero 1003,251,95.449,S
